id,species,location_type,location_coordinates_0,location_coordinates_1
7c62d26f-5473-4b5d-804d-de782d5c3884,FUNESTUS COMPLEX,Point,43.644,3.12
7ec6d454-f49d-4306-95e4-b9f9232637f5,FUNESTUS COMPLEX,Point,30.0831,-3.1294
7f6a4a8b-1099-4685-89ab-18ad42c1c95f,FUNESTUS COMPLEX,Point,34.5167,-0.1
80adb70f-29e7-4e31-884b-3d31c583b996,FUNESTUS COMPLEX,Point,46.2167,-19.3833
80c0292e-ab96-4643-bb88-fa24377494b0,FUNESTUS COMPLEX,Point,46.349,-19.133
816485cd-02a2-4b43-9cf6-049b4e6cf13c,FUNESTUS COMPLEX,Point,13.528,8.642
81827218-67c1-466b-8c77-c2dba0f61df1,FUNESTUS COMPLEX,Point,2.916,13.434
81d3ccf5-f8aa-4f1e-8584-a7953319a708,FUNESTUS COMPLEX,Point,46.349,-19.133
8237a18d-8699-46a3-b1f3-0b1c0475e243,FUNESTUS COMPLEX,Point,46.2167,-19.3833
82f67461-a26a-4711-a5f1-2f2c322216b1,FUNESTUS COMPLEX,Point,46.2727,-19.243
8385d1a6-903f-4b49-acb6-9f6742387027,FUNESTUS COMPLEX,Point,2.916,13.434
8451dd27-34cb-4fb4-9b4a-7df94b28fbd9,FUNESTUS COMPLEX,Point,-5.4,6.866
8471ba90-071c-4109-ac92-85adfae91d05,FUNESTUS COMPLEX,Point,34.526988,0.111091
84eefa7c-2bfb-4eb3-bca9-97cf55e7b8fd,FUNESTUS COMPLEX,Point,34.69638,-0.65683
85560ab9-30e0-41b6-9ad9-aec8dc652a93,FUNESTUS COMPLEX,Point,37.3446,-0.6981
85577e0e-cd2e-4bc0-a00b-5c8eede480e9,FUNESTUS COMPLEX,Point,23.9,-3.09
85b700a3-caff-4053-854f-a14976520930,FUNESTUS COMPLEX,Point,29.999,-0.85
85ce3827-c1ef-41e8-bd15-50a853ba0b4d,FUNESTUS COMPLEX,Point,15.7333,-12.55
879808e9-f5ee-415d-b22b-f053417edb70,FUNESTUS COMPLEX,Point,-3.734,12.9
896e158b-52a7-4db6-ac27-8cb0d761581d,FUNESTUS COMPLEX,Point,-5.4,6.866
8a85a67b-3d4f-42cc-8ab6-8d2860a2a02d,FUNESTUS COMPLEX,Point,15.7333,-12.55
8ca77aac-2aa7-4384-aae6-6dc16bdae4bb,FUNESTUS COMPLEX,Point,29.866,-1.284
8da4b51f-81ea-479e-8b51-ca4163437ca2,FUNESTUS COMPLEX,Point,30.2666,-3.0166
8e8df254-a41e-4ea5-8b54-d6808777b81a,FUNESTUS COMPLEX,Point,26.783,-16.434
92458b91-32ee-42bc-90fd-bebe4d6e783a,FUNESTUS COMPLEX,Point,37.409,-0.606
93dd2871-f0b6-4d53-83b1-b1aad14b2e2e,FUNESTUS COMPLEX,Point,34.7667,-0.7
954df48f-b80d-46e5-acfd-e3e99055892c,FUNESTUS COMPLEX,Point,46.349,-19.133
98f319a4-592a-4cdb-9241-07842dddaf32,FUNESTUS COMPLEX,Point,-15.9167,15.9667
9974a44c-4f6b-457f-b7e6-b9499bcb8211,FUNESTUS COMPLEX,Point,3.349,7.159
9ab672f3-97cb-41d8-85da-876efa3385a3,FUNESTUS COMPLEX,Point,46.349,-19.133
9b0d7687-3885-4387-8cf5-9f7e74d4d768,FUNESTUS COMPLEX,Point,8.499,3.451
9b66f728-a002-483b-8451-2866df79520e,FUNESTUS COMPLEX,Point,34.916,-0.183
9c3ac174-3dc8-48f1-bb0d-2fd882ed685d,FUNESTUS COMPLEX,Point,37.45,-0.5667
9e198b17-2dae-467d-8fee-955ad11a5643,FUNESTUS COMPLEX,Point,2.916,13.434
9e40ab67-0148-4394-87c6-9aeb5e14406a,FUNESTUS COMPLEX,Point,-15.583,16.516
9e68d765-a5b9-40c9-8357-5c8cd406891a,FUNESTUS COMPLEX,Point,34.7167,0.0833
9e92ab52-20f4-4b21-9256-46d3ecc2e009,FUNESTUS COMPLEX,Point,46.2167,-19.3833
9f1698b0-35cf-458f-aee8-573531033793,FUNESTUS COMPLEX,Point,8.917,3.7
9f3f6d6a-904f-4a8d-99e3-b454bdb66ceb,FUNESTUS COMPLEX,Point,-15.934,15.983
a0150dbe-88af-4e2e-809f-504ecb66f5e2,FUNESTUS COMPLEX,Point,26.783,-16.434
a0c5afab-73a9-4d0f-a8f5-abdac2ac1e17,FUNESTUS COMPLEX,Point,8.8,3.483
a24ae9e0-f937-401e-8fe0-cd284009e8ec,FUNESTUS COMPLEX,Point,8.917,3.7
a2fa6ff1-723d-484f-99cc-0e62e1c9f21e,FUNESTUS COMPLEX,Point,8.783,3.75
a30cee2c-71c0-4c85-9bb4-4ea5ee377a02,FUNESTUS COMPLEX,Point,35.2333,0.2167
a347ec2f-3cb8-40ae-a947-1ace232c67df,FUNESTUS COMPLEX,Point,-15.583,16.516
a3846bda-9acf-4e2e-829a-34482b2c05a9,FUNESTUS COMPLEX,Point,34.6,-0.1333
a3875d90-b3f4-4771-ae5c-89cc2a7bb2ef,FUNESTUS COMPLEX,Point,46.349,-19.133
a38ecba9-0262-4e84-8959-b6abb5a5b916,FUNESTUS COMPLEX,Point,37.3446,-0.6981
a3bbc3da-ab6c-46df-8875-7b48c48e3122,FUNESTUS COMPLEX,Point,37.3446,-0.6981
a3bfe45e-86f0-48e3-8cf6-6c30807b5606,FUNESTUS COMPLEX,Point,34.532845,0.104402
a43e546d-0c2d-408e-a1ee-f74223ab5d69,FUNESTUS COMPLEX,Point,-1.659,6.194
a4a21351-69b7-4238-82b6-4af1b9cda879,FUNESTUS COMPLEX,Point,37.3446,-0.6981
a4fea69e-0fc7-4c8c-8a7f-9eb851abe034,FUNESTUS COMPLEX,Point,34.516282,0.114611
a561d2c9-3e48-4eed-8bbe-de78e3db3cd5,FUNESTUS COMPLEX,Point,37.409,-0.606
a5da6c20-a2dd-44a9-826d-181fb83ab5db,FUNESTUS COMPLEX,Point,-15.583,16.516
a617e3a2-3735-4bac-824c-60f325c4188b,FUNESTUS COMPLEX,Point,34.666667,-0.066667
a6fb21ee-4000-4907-9672-28c3b3f4a230,FUNESTUS COMPLEX,Point,37.3446,-0.6981
a758bf53-bbbe-4c46-b955-0811456ee675,FUNESTUS COMPLEX,Point,37.45,-0.5667
a9b4cee2-04f1-4297-b908-e96da710cf58,FUNESTUS COMPLEX,Point,34.85,-0.76
aa57b471-2b69-4c8a-9094-8cd3a860f863,FUNESTUS COMPLEX,Point,-15.434,15.667
aa5abd51-f7d5-47d9-9ac4-5bec9539232e,FUNESTUS COMPLEX,Point,8.7,3.5
aa5b5199-05a1-4b9b-a42a-611d98c5c637,FUNESTUS COMPLEX,Point,32.239,-25.597
abb40d81-1131-47a6-b1fb-13520de67cef,FUNESTUS COMPLEX,Point,46.2167,-19.3833
acd2f42d-2942-41dd-84b2-222b3e28f245,FUNESTUS COMPLEX,Point,29.999,-0.85
ad56177f-7231-479c-81a5-7344eecb838a,FUNESTUS COMPLEX,Point,46.417,-19
ae52adc5-ee0a-4b28-ac7b-382367f9a2c0,FUNESTUS COMPLEX,Point,29.999,-0.85
ae7ff2e1-9dae-45e5-b672-101e96c3817e,FUNESTUS COMPLEX,Point,-7.546,7.404
af301672-5494-4ef6-94cd-89eba3b7af56,FUNESTUS COMPLEX,Point,46.2727,-19.243
b0dd98d4-4705-44e5-aca1-f00716de7060,FUNESTUS COMPLEX,Point,34.205,-0.418
b0e43fca-59ee-4176-9788-7f46a39979a4,FUNESTUS COMPLEX,Point,37.45,-0.5667
b2705a78-3f60-4957-bf01-c39235855296,FUNESTUS COMPLEX,Point,9.773,1.843
b325e1e8-79a2-4b4f-9f95-3ceb3d1bd231,FUNESTUS COMPLEX,Point,34.7167,0.0833
b37aac4c-139d-42aa-8c53-e802fe3c5006,FUNESTUS COMPLEX,Point,34.205,-0.418
b440670c-3a43-4741-9398-af33965ca4d3,FUNESTUS COMPLEX,Point,46.349,-19.133
b4b48d9a-44e8-452a-93e5-1aebc95dc18a,FUNESTUS COMPLEX,Point,32.566,-25.8
b4e89cf0-1038-49ac-ade6-785fc6329c0b,FUNESTUS COMPLEX,Point,37.3446,-0.6981
b4fde0df-9100-43c7-b1f5-c6429438d4ca,FUNESTUS COMPLEX,Point,-8.246,12.165
b4ffa1d9-f6ed-435b-81c1-0ff678b9f3c1,FUNESTUS COMPLEX,Point,46.417,-19
b5fd5cbf-499b-4408-9f46-d319658bc823,FUNESTUS COMPLEX,Point,13.507,9.398
b625109a-17ad-49d1-9003-dc33b9ba34b2,FUNESTUS COMPLEX,Point,2.916,13.434
b636e8f8-ccdf-475c-b887-d4a672077991,FUNESTUS COMPLEX,Point,11.299,2.117
b6bf27c0-7082-47b4-86a9-47cc54872254,FUNESTUS COMPLEX,Point,-1.659,6.194
b6e96334-180c-48a6-9337-7b05d681c39c,FUNESTUS COMPLEX,Point,46.417,-19
b7e38889-a87e-4d42-8233-20cdf3015416,FUNESTUS COMPLEX,Point,37.35,-0.67
bae824c2-adcd-41fb-b92b-944e53e97ba6,FUNESTUS COMPLEX,Point,29.999,-0.85
bc4ab7dd-f7e3-4cf4-a2bd-eb20087faadb,FUNESTUS COMPLEX,Point,26.783,-16.434
bc7e6f52-73eb-4f83-84cb-c7b76e49608f,FUNESTUS COMPLEX,Point,34.292,-0.482
bc92fe19-d6f7-4b2f-b495-006fd1eac8ce,FUNESTUS COMPLEX,Point,-15.934,15.983
bf38e336-b1da-43f0-b932-12f9a4ef8bda,FUNESTUS COMPLEX,Point,34.916,-0.183
c1d98870-4a27-4493-ac7a-baa170070517,FUNESTUS COMPLEX,Point,8.75,3.75
c2646e93-3868-4c3d-bb60-d54c6d9b8be3,FUNESTUS COMPLEX,Point,46.417,-19
c2eb5255-161b-49da-9a45-4cf4989bfae8,FUNESTUS COMPLEX,Point,10.466,1.584
c2ffd537-4ff2-420f-83fb-8f7170bd3704,FUNESTUS COMPLEX,Point,-4.622,6.497
c55e793f-bc91-41ed-8599-01bfb65cdc95,FUNESTUS COMPLEX,Point,26.773,-16.217
c70b7eb4-1790-4f22-911d-443cc1a8c713,FUNESTUS COMPLEX,Point,-5.91,14.36
c8d79c32-ca63-4328-aeef-88e7778b40c4,FUNESTUS COMPLEX,Point,34.7991,-0.5794
c97d295f-ce8f-4f5e-9e54-a53676878b12,FUNESTUS COMPLEX,Point,37.333,-0.683
cbd8f29e-501f-492b-a1bb-f1b8ea9dc7ea,FUNESTUS COMPLEX,Point,46.2727,-19.243
cc87381e-7464-415b-9e01-445e3f28e5fe,FUNESTUS COMPLEX,Point,34.7167,0.0833
ccb54cef-a43e-49de-8db1-8856a019487b,FUNESTUS COMPLEX,Point,-15.434,15.667
cdac3eb8-ee2b-455e-ae8a-b6e0d9fcd0e1,FUNESTUS COMPLEX,Point,34.7167,0.0833
ce6a6724-26ed-43da-ad85-5af4cc4c5d08,FUNESTUS COMPLEX,Point,13.675,9.075
cef51408-f63e-4b28-ab04-25d83db84a2a,FUNESTUS COMPLEX,Point,34.51965,0.116822
cf4ddf58-f036-4c0d-8d41-dfaf4441025b,FUNESTUS COMPLEX,Point,15.7333,-12.7667
d120b0a4-fae0-48ea-87e5-2fa2dd8e38ce,FUNESTUS COMPLEX,Point,32.982,-24.532
d1e1e034-5c9a-43ca-8784-7405b97e7e8a,FUNESTUS COMPLEX,Point,-15.9167,15.9667
d444e7f2-26aa-443f-8c87-2fe8984af4a7,FUNESTUS COMPLEX,Point,-15.583,16.516
d6bb6bd7-1c9a-401d-9a47-de8367b309d4,FUNESTUS COMPLEX,Point,8.783,3.75
d7386594-4d7d-4d13-bdd0-c31b8c80fdc9,FUNESTUS COMPLEX,Point,8.616,3.434
d8a6abd7-bc7d-4f3b-aee2-d9d233a17603,FUNESTUS COMPLEX,Point,37.2668,-0.6245
d8fde3b0-4cb5-43b9-9c21-3f9ebb0b7d96,FUNESTUS COMPLEX,Point,13.528,8.642
d963b887-f351-4fa7-8b71-c6eef2381ee0,FUNESTUS COMPLEX,Point,8.716,3.701
dbbedee9-9f7f-421b-a1bd-db5b6bc4083a,FUNESTUS COMPLEX,Point,34.7167,0.0833
dbde4246-2ccf-4f2f-8155-3bc57b8d6a7b,FUNESTUS COMPLEX,Point,-3.86,12.729
dde5ee8e-e9c5-4595-b21e-05c7e17848c9,FUNESTUS COMPLEX,Point,37.3058,-0.6496
dee43c7a-478f-40fe-9340-baa25f6c7fbb,FUNESTUS COMPLEX,Point,37.409,-0.606
e12f053b-eff6-417c-ada0-d712182e55dc,FUNESTUS COMPLEX,Point,46.2727,-19.243
e2a8e9ee-1120-4438-a695-2bea44601774,FUNESTUS COMPLEX,Point,37.346,-0.695
e3c495bd-655e-412d-941f-67305389a0cc,FUNESTUS COMPLEX,Point,37.3446,-0.6981
e6290a59-8877-4e5e-ae13-bbf19281948b,FUNESTUS COMPLEX,Point,32.594,0.3646
e64f5c2b-9b5e-4075-8b66-c33766be88de,FUNESTUS COMPLEX,Point,34.205,-0.418
e65d8d6b-c199-43c5-af53-233c43663eaf,FUNESTUS COMPLEX,Point,11.018,1.689
e7009e3c-5e06-4524-b83e-c7c14ae1135b,FUNESTUS COMPLEX,Point,37.45,-0.5667
e7d25f43-a6e5-49a3-9d47-be591943fc0b,FUNESTUS COMPLEX,Point,34.7167,0.0833
eac0de42-1903-4e74-bdfb-9591a6e246d3,FUNESTUS COMPLEX,Point,46.2727,-19.243
ebb99c87-112a-4e71-9138-126bcd58339e,FUNESTUS COMPLEX,Point,34.666667,-0.066667
ebd39919-7087-4ef8-a79d-f3c8f6f9b616,FUNESTUS COMPLEX,Point,33.206,0.44
ec1354cf-30e3-482c-9a8d-7a32533c8ef1,FUNESTUS COMPLEX,Point,37.3939,-0.7497
ec791808-292c-4c69-8260-4f73abd6b3e1,FUNESTUS COMPLEX,Point,32.6131,-25.9147
ee66e24b-6645-444a-af04-96115d897a02,FUNESTUS COMPLEX,Point,32.449,-25.983
eeb26b5d-d919-422b-a631-d9ac4dec07c7,FUNESTUS COMPLEX,Point,34.75,0.15
efcf16a3-8e32-4755-a02e-d9495ce2079a,FUNESTUS COMPLEX,Point,26.9409,-16.4685
f09533a5-50b8-4b4a-bd83-5e14f31cbda4,FUNESTUS COMPLEX,Point,34.504943,0.118785
f1551092-260e-48f5-83d1-dacdce8f6dfe,FUNESTUS COMPLEX,Point,-0.21,5.583
f180eb50-0137-45cc-b322-16572c7080eb,FUNESTUS COMPLEX,Point,34.292,-0.482
f2b51d58-0244-48f5-9a0c-532c763e3688,FUNESTUS COMPLEX,Point,46.2727,-19.243
f3182eb1-5151-490f-ae45-a1dd283c874a,FUNESTUS COMPLEX,Point,37.409,-0.606
f31dd703-9fba-4009-a938-4b0e42719be9,FUNESTUS COMPLEX,Point,33.206,0.44
f46ef69f-1966-404c-9949-b7b985a2b544,FUNESTUS COMPLEX,Point,8.632,3.584
f506dc34-59d8-4ace-bb36-378a3e15d786,FUNESTUS COMPLEX,Point,34.522078,0.120343
f51e5194-7de0-41fc-b434-d9992096d40c,FUNESTUS COMPLEX,Point,8.716,3.701
f5282e10-94cb-44df-a325-99bb9de345f8,FUNESTUS COMPLEX,Point,37.3446,-0.6981
f5decb57-7c7a-4a29-a017-6684818546cd,FUNESTUS COMPLEX,Point,-15.9167,15.9667
f6974fc8-e275-4343-bf06-847b99c675b9,FUNESTUS COMPLEX,Point,34.91,-0.81
f7668009-00d8-45cf-a921-fe03d84101ad,FUNESTUS COMPLEX,Point,34.75488,-0.61051
f8fc56cc-1d1d-44f6-b0e8-39362f9511ac,FUNESTUS COMPLEX,Point,8.849,3.551
f9518a2c-5ed3-43cc-b1ef-fb41f46a9aa9,FUNESTUS COMPLEX,Point,26.773,-16.217
f9af705d-f547-4aa6-8e79-c95cb547d38d,FUNESTUS COMPLEX,Point,-15.9167,15.9667
fa4ffd3e-80c5-4a73-b823-12404a7386d7,FUNESTUS COMPLEX,Point,34.7991,-0.5794
fd2a7220-7755-4626-9488-f4fd74e2612e,FUNESTUS COMPLEX,Point,37.3446,-0.6981
fdad998b-5371-4423-8b73-a9cefad10fc8,FUNESTUS COMPLEX,Point,2.916,13.434
fdcbd184-29e3-4b89-9de1-a2b8c546c452,FUNESTUS COMPLEX,Point,30.566,-24.75
fee7272b-a968-44c4-a9d5-d6f981cd8fb8,FUNESTUS COMPLEX,Point,34.566,-19.465
ff28c880-727c-49e6-b0f0-9fe44357c2f8,FUNESTUS COMPLEX,Point,34.81807,-0.56352
ff41efc1-1dbf-4201-84f6-5b9476bedb03,FUNESTUS COMPLEX,Point,13.507,9.398
ff4a4456-73f2-4de1-96b3-29264cdc2b8b,FUNESTUS COMPLEX,Point,34.5167,-0.1
ff54429c-807a-427c-8daa-caf2145f1d60,FUNESTUS COMPLEX,Point,34.292,-0.482
ff678e81-4a14-4522-ae7d-5d5dfa8d4106,FUNESTUS COMPLEX,Point,3.349,7.159